"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"";"Version1.0.0.";1;"";;;
4;"G***";"Symbol-Front-USB";1;"LOGO";;;
5;",,,,,,,,,,,,,,,,";"buzzardLabel";17;"";;;
6;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
7;"D1";"M4_DIODA";1;"M4_DIODA";;;
8;"U1";"AS7805ADTR";1;"AS7805ADTR";;;
9;"U2";"SOT-23-5";1;"SE5218";;;
10;"S3,S2";"SWITCH_ON_OFF_ON_3296";2;"SK-3296S-01-L1";;;
11;"S1";"SK-3245S-L3-B";1;"SK-3245S-L3-B";;;
12;"R5";"0402R";1;"1k";;;
13;"R4";"0402R";1;"330R";;;
14;"R3";"0402R";1;"100R";;;
15;"R2,R1";"0603R";2;"5.1k";;;
16;"K4,K3";"HEADER_MALE_2X1";2;"HEADER_MALE_2X1";;;
17;"K2";"DC_JACK";1;"DC_JACK";;;
18;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
19;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
20;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
21;"D4";"0402LED";1;"purple";;;
22;"D3";"0402LED";1;"red";;;
23;"D2";"0402LED";1;"orange";;;
24;"C4,C1";"0603C";2;"2.2uF";;;
25;"C3";"0603C";1;"0.1uF";;;
26;"C2";"0603C";1;"1uF";;;
